Name,Power rating (W),Length (m),Width (m),Thickness (m),Price (EUR),Cells,Module Efficiency,OCV (V),SCC (A),Weight (kg),Annual Degradation (%),NOTC (C),P temp (%/C)
LG NeON2 340,340,1.686,1.016,0.04,208,60,0.198,41.1,10.53,18,0.005,45,0.0037
LG NeON2 335,335,1.686,1.016,0.04,215,60,0.196,41,10.49,18,0.005,45,0.0037
LG Mono X Plus 330,300,1.686,1.016,0.04,172,60,0.175,38.9,10.07,18,0.0055,45,0.0041
LG Mono X Plus 295,295,1.686,1.016,0.04,166,60,0.172,38.6,10.02,18,0.0055,45,0.0041
LG Neon R 370,370,1.7,1.016,0.04,344,60,0.214,42.8,10.82,18.5,0.004,44,0.003
LG Neon R 365,365,1.7,1.016,0.04,319,60,0.211,42.8,10.8,18.5,0.004,44,0.003
LG Neon R 360,360,1.7,1.016,0.04,296,60,0.208,42.7,10.79,18.5,0.004,44,0.003
LG NeOn 2 Black ,320,1.686,1.016,0.04,207,60,0.187,40.8,10.19,18,0.005,45,0.0037
LG NeON 2 BiFacial 390,390,2.064,1.024,0.04,272,72,0.185,49.2,10.15,22,0.005,45,0.0036
REC PE 260,260,1.665,0.991,0.038,174,60,0.158,37.8,9.01,18,0.007,45.7,0.004
REC PE 265,265,1.665,0.991,0.038,179,60,0.161,38.1,9.08,18,0.007,45.7,0.004
REC Peak Energy PE 270,270,1.665,0.991,0.038,121,60,0.164,38.4,9.18,18,0.007,45.7,0.004
REC Peak Energy PE 275,275,1.665,0.991,0.038,124,60,0.167,38.7,9.25,18,0.007,45.7,0.004
REC TwinPeak 2 280,280,1.675,0.997,0.038,137,120,0.168,38.4,9.39,18.5,0.007,44.6,0.0036
REC TwinPeak 2 290,290,1.675,0.997,0.038,138,120,0.174,38.8,9.71,18.5,0.007,44.6,0.0036
REC TwinPeak 2 295,295,1.675,0.997,0.038,142,120,0.177,39,9.76,18.5,0.007,44.6,0.0036
BenQ SunViVo 300,300,1.64,0.992,0.04,167,60,0.184,39.9,9.8,18.5,0.004,46,0.0042
BenQ SunForte 335,335,1.559,1.046,0.046,232,96,0.206,64.9,6.62,18.6,0.006,45,0.0033
Sharp NU-AK 300,300,1.64,0.992,0.035,139,60,0.184,39.5,9.78,18.1,0.007,45,0.0039
Sharp NU-RD 300,300,1.66,0.99,0.05,167,60,0.167,36.3,7.72,20,0.007,49,0.004
Sharp ND-RJ 270,270,1.654,0.989,0.04,130,60,0.165,37.94,8.8,18.2,0.007,46,0.0042
Sharp ND-RB 270,270,1.65,0.992,0.035,123,60,0.165,38.4,8.73,18.6,0.007,44,0.0041
Sharp NDSC 360,360,1.956,0.992,0.04,179,72,0.185,47.2,9.79,26,0.007,44,0.0039
Trina Honey TSM 270,270,1.65,0.947,0.035,117,60,0.165,37.9,9.22,18.6,0.007,44,0.0041
Trina Honey TSM 275,275,1.65,0.947,0.035,121,60,0.168,38.1,9.32,18.6,0.007,44,0.0041
Trina Honey M-Plus 275,275,1.65,0.941,0.035,193,60,0.168,38.7,9.26,18.6,0.007,44,0.0039
Trina Honey M-Plus 295,295,1.65,0.941,0.035,193,60,0.18,39.7,9.55,18.6,0.007,44,0.0039
Trina Honey M-Plus 300,300,1.65,0.941,0.035,143,60,0.183,39.9,9.64,18.6,0.007,44,0.0039
Panasonic VBHNSJ25 245,245,1.58,0.798,0.035,189,72,0.194,53,5.86,15,0.007,44,0.0029
Panasonic VBHNSJ25 240,240,1.58,0.798,0.035,244,72,0.19,52.4,5.85,15,0.007,44,0.0029
Panasonic VBHNSJ53 330,330,1.59,1.053,0.04,222,96,0.197,69.7,6.07,19,0.0045,44,0.00258
Panasonic VBHNSJ53 325,325,1.59,1.053,0.04,209,96,0.194,69.6,6.03,19,0.0045,44,0.00258
Panasonic VBHNKJ01 325,325,1.59,1.053,0.04,221,96,0.194,70.9,5.94,19,0.0045,44,0.00258
Panasonic VBHNKJ01 320,320,1.59,1.053,0.04,207,96,0.191,70.5,5.89,19,0.0045,44,0.00258
Panasonic VBHNSJ46 285,285,1.463,1.053,0.035,288,88,0.185,63.5,5.91,18,0.007,44,0.0029
Panasonic VBHNSJ47 325,325,1.59,1.053,0.035,209,96,0.194,57.6,5.65,18.5,0.007,44,0.0029
